#sim_id  analog_id
023  29189
088  57398
119  32963
188  87767
247  22839
268  14917
270  51250
288  20248
327  28651
349  27143
364  38901
374  29809
414  35002
415  45728
416  16830
440  42561
460  26629
469  42823
490  36800
530  31012
558  31607
567  24026
570  38087
606  52668
628  19789
641  31283
675  26765
718  58221  
749  28465
797  34623
800  31754
8247 36916
825  22284
829  23950
852  16937
878  28017
881  74361
925  16956
926  30424
937  37843
939  30378
967  36591
9749  57548 
9829  32290
990  11661

 
